games, wins, q_loss, v_loss
30, 10, 0.041097826014667216, 0.025531386091848515
30, 12, 0.024689404937184516, 0.013937392919638365
30, 19, 0.019473741651237327, 0.012441922507446534
30, 20, 0.017711296258259096, 0.012317251745050531
30, 12, 0.015315766314297772, 0.011503301178342784
30, 8, 0.014639661790481286, 0.01151805769899074
30, 9, 0.014066547929344232, 0.010952885654750976
30, 15, 0.014265118277429654, 0.01091890060432161
30, 18, 0.015227910152612007, 0.010468528888862884
30, 15, 0.014596708811080578, 0.010072443907594547
30, 16, 0.016351523377407483, 0.010251947096270322
30, 20, 0.015927735303595633, 0.009583958031545521
30, 24, 0.015964832145809432, 0.009488471248085018
30, 22, 0.01604941810200995, 0.00953414944007574
30, 14, 0.018421454996687053, 0.009742491934629258
30, 28, 0.01855308736795875, 0.009470515073759546
30, 21, 0.019247751948136493, 0.009007271607832113
30, 17, 0.01937144773331024, 0.009216824097704919
30, 24, 0.02266509583869699, 0.008867285581278068
30, 18, 0.022374811243228668, 0.008941855087328993
30, 23, 0.024849413700136, 0.009650950058766894
30, 22, 0.024879303312128294, 0.009502375039661075
30, 26, 0.029607395126188606, 0.00980335811404919
30, 24, 0.02890966225668919, 0.009361210357237876
30, 24, 0.03256426942116114, 0.009224981811341024
30, 21, 0.03264044075569096, 0.009558543268055905
30, 21, 0.03952959319623895, 0.010341328406602448
30, 24, 0.03924109351048361, 0.010155103397768938
30, 24, 0.03721231086796508, 0.010306112231044873
30, 23, 0.03700622308531049, 0.010089776768127423
30, 25, 0.039258788976232806, 0.010090360044451858
30, 22, 0.038958011940736975, 0.010168627632980863
30, 20, 0.03828045820613553, 0.010628471399228514
30, 18, 0.03702251664014113, 0.01018790026053803
30, 19, 0.04392704347984983, 0.010996055555372104
30, 21, 0.04347800411268905, 0.010373807552774852
30, 15, 0.050428397590909634, 0.01189344176504037
30, 25, 0.05118105472354903, 0.011369474791516511
30, 22, 0.05562691966401811, 0.011858006950712461
30, 25, 0.05627355468459431, 0.011597057486511419
30, 26, 0.059077709753026265, 0.011899421595522677
30, 23, 0.05823868412082482, 0.011538215151492705
30, 23, 0.05957620904042288, 0.01180562220668372
30, 21, 0.060714797938571256, 0.011727597116191367
30, 25, 0.060205783623693866, 0.011556516336350242
30, 22, 0.0592705792205596, 0.01156676707578417
30, 26, 0.059085643524354504, 0.010948823421097726
30, 22, 0.05981736179669845, 0.011406786309607859
30, 20, 0.06292560643580541, 0.011862425686466319
30, 24, 0.06321589637021112, 0.011556153785417835
30, 21, 0.06333497422689158, 0.011800587691500821
30, 24, 0.06433017989161176, 0.012045359913721234
30, 28, 0.07087635579795026, 0.012797956744324782
30, 23, 0.07042957743492408, 0.012406388695469147
30, 22, 0.05898528582875741, 0.011647292561563563
30, 15, 0.05915470659626058, 0.011672834728242959
30, 20, 0.06346104427346119, 0.012289574971289059
30, 24, 0.06377602147306279, 0.012276825255997081
30, 24, 0.06308547229464366, 0.011649591002319394
30, 25, 0.06254757065805627, 0.01135500861357303
30, 25, 0.06837591492742513, 0.011681830252902661
30, 21, 0.06909648505970829, 0.01219429809504868
30, 25, 0.07520806116377983, 0.012041649652349839
30, 23, 0.076219355572114, 0.01222233160283515
30, 21, 0.07715889154205484, 0.012181063183898415
30, 24, 0.07668415119168713, 0.011655836603915894
30, 23, 0.0831028033527408, 0.012113364153117452
30, 26, 0.0840076409915895, 0.012227712911046084
30, 24, 0.08129799289919958, 0.011780208936483481
30, 21, 0.08173662707703548, 0.011912868056415449
30, 20, 0.07650403097571198, 0.011831019936379517
30, 19, 0.07584515542577809, 0.01156578545681093
30, 19, 0.0805159432043973, 0.011626172166452963
30, 20, 0.08089724882543453, 0.011964280757314387
30, 22, 0.08277469011577408, 0.012198190993151144
30, 24, 0.08318493175068228, 0.01248153614710762
30, 17, 0.08743201925566328, 0.012926206984067042
30, 22, 0.0871448648857708, 0.012838601531146479
30, 18, 0.0775892326596081, 0.011596703397820611
30, 16, 0.07711306156124936, 0.011352180263656933
30, 22, 0.06961056087313522, 0.010599903970905194
30, 17, 0.07021256103630989, 0.010898658983747133
30, 26, 0.072998515584625, 0.010996965656317524
30, 27, 0.07187128460428127, 0.010763260429152651
30, 24, 0.07377674012064313, 0.01231623936748026
30, 26, 0.07212213598309994, 0.011663308505953806
30, 20, 0.06978285322613252, 0.011131649531603331
30, 21, 0.06950755901072682, 0.011234006774712145
30, 26, 0.06679566500464267, 0.010839534745070415
30, 25, 0.06625019944677102, 0.010826435246074333
30, 22, 0.059724594324491495, 0.009640213182044128
30, 22, 0.0592901306531203, 0.009859735491225987
30, 21, 0.06225055405888167, 0.010411851281227862
30, 26, 0.06345138917114918, 0.01006315505197845
30, 25, 0.06632612773176774, 0.010457374574743088
30, 28, 0.066798708675319, 0.010754193539297763
30, 25, 0.06582234401225126, 0.010659721827801434
30, 24, 0.06517884744339109, 0.01052316672705069
30, 25, 0.07506810101755085, 0.011845234998514812
30, 26, 0.07414899819613949, 0.01147260580345668
30, 18, 0.08009555758793413, 0.01217090920066086
30, 25, 0.08001362561595213, 0.012373631907077109
30, 23, 0.07843784762329829, 0.011875046059099396
30, 23, 0.07865712993237557, 0.011493565134462763
30, 21, 0.0783278471769558, 0.011944090940653245
30, 26, 0.07796603075615162, 0.011852305531156498
30, 22, 0.07245559567108142, 0.01101306753568453
30, 23, 0.07220552431776003, 0.011053634948309753
30, 24, 0.07399712479005258, 0.011353798995960385
30, 26, 0.07325049598308912, 0.01072805193513474
30, 28, 0.07567395218008202, 0.011270125420383583
30, 25, 0.07400110254770732, 0.011727322175274205
30, 27, 0.07240922803608578, 0.011111343954620455
30, 22, 0.07159086910899347, 0.011205047767648772
30, 25, 0.07616124102956852, 0.011625090376123472
30, 26, 0.07522929980893801, 0.011977106711426308
30, 27, 0.0745613893143768, 0.011774621099934105
30, 25, 0.07319662245029113, 0.011165146948286625
30, 23, 0.06822713399696105, 0.010860114601162502
30, 18, 0.06704376663716181, 0.010501690267455229
30, 23, 0.06736090963387001, 0.010737256591304476
30, 24, 0.06745673377439762, 0.010957748139714046
30, 25, 0.0658250158762693, 0.010878578191161356
30, 25, 0.06490915908284911, 0.01066130221944861
30, 25, 0.05997474756061759, 0.01013754082093339
30, 27, 0.06084734664595476, 0.010144470358043604
30, 20, 0.05690935413727587, 0.010484640622302217
30, 25, 0.05699837937018872, 0.010151542572628383
30, 26, 0.052390130869921246, 0.009491473535993786
30, 22, 0.05211475841667237, 0.009421530542916327
30, 25, 0.05325291436741222, 0.009886002087879256
30, 23, 0.05413283667134755, 0.009902900056251631
30, 24, 0.05185245372799802, 0.010005489254685414
30, 25, 0.05185838932810245, 0.009433652189307017
30, 26, 0.0555386693543803, 0.010145730899021868
30, 25, 0.054821342060511764, 0.01011191342886947
30, 24, 0.05459289504668773, 0.009877337567568707
30, 22, 0.05446450214417323, 0.009653636804220257
30, 26, 0.057189477015665534, 0.010327906750331996
30, 22, 0.05669033681083192, 0.01024282735248635
30, 23, 0.057713097739351335, 0.009933036076579155
30, 24, 0.05706761460030929, 0.010032015226045576
30, 21, 0.055464211752825836, 0.010436398651979524
30, 26, 0.054873832609867265, 0.010491777299637869
30, 26, 0.049770768322838985, 0.009333567277752553
30, 22, 0.04998689635893022, 0.00912498323424021
30, 23, 0.04787624898398748, 0.008815291018931765
30, 26, 0.04741152998827551, 0.008935405222745258
30, 27, 0.043303752522067133, 0.007730052817421974
30, 24, 0.04371582104856916, 0.00792245352779751
30, 22, 0.04702458058923574, 0.007978164948952133
30, 22, 0.04699243388058226, 0.00816259039321592
30, 20, 0.04970660689784624, 0.008166659606378442
30, 25, 0.05004963094292025, 0.008722321966930922
30, 23, 0.051011818584990605, 0.00820567073751232
30, 24, 0.0506860868361945, 0.008156177666120368
30, 23, 0.04897598064865468, 0.008870653432680913
30, 20, 0.048390363696598944, 0.008938493247754045
30, 23, 0.048134884864140644, 0.008997351602334981
