games, wins, q_loss, v_loss
30, 13, 0.04024763503469713, 0.03956253951222907
30, 19, 0.026050933807635096, 0.026373804139678544
30, 16, 0.020255853077793363, 0.02132822883975498
30, 12, 0.017932548664523013, 0.019228305214265058
30, 21, 0.016208195446113287, 0.01745018443838641
30, 19, 0.016184156211841588, 0.01763929033243537
30, 13, 0.014214381729879254, 0.015258184143968258
30, 16, 0.014301977596765604, 0.01555079588513465
30, 14, 0.014649386992853945, 0.015789200111200195
30, 16, 0.013551720307365827, 0.014728113143600017
30, 19, 0.014297359744837004, 0.014994863210139191
30, 16, 0.013974488132340404, 0.014933738982619633
30, 21, 0.013185316246020777, 0.014116200702556227
30, 24, 0.012981449515095363, 0.014017421119226998
30, 26, 0.014268172829268316, 0.014966579112249492
30, 24, 0.013713198968835506, 0.014731724217173862
30, 22, 0.012915346734768478, 0.013778051722199872
30, 23, 0.013107734620882137, 0.014050080236185734
30, 23, 0.013602751981150643, 0.014705302341791258
30, 24, 0.013256290475519706, 0.014452865346621241
30, 26, 0.012694571281658615, 0.013774468541950293
30, 26, 0.012462093817640655, 0.013367716721099099
30, 21, 0.013470745840673362, 0.01420386975670411
30, 24, 0.012842948316253065, 0.013783322037797365
30, 21, 0.013557720010379665, 0.014195697767787657
30, 24, 0.012789841994792842, 0.013680126760301139
30, 23, 0.01290452751426362, 0.01342906359946136
30, 23, 0.012571161499588753, 0.013363871811998869
30, 22, 0.01287469507263201, 0.013549320023446288
30, 24, 0.012172782947002608, 0.01296519862457639
30, 23, 0.013100240497960354, 0.013721104342514131
30, 24, 0.012941836343983574, 0.013734756408835345
30, 20, 0.012471169780112479, 0.013242468034174532
30, 18, 0.012530483684689153, 0.013105955048508382
30, 18, 0.011424046252989463, 0.012172462456078649
30, 21, 0.011190950285105394, 0.012080739436029794
30, 22, 0.012384604661444126, 0.013243616349023376
30, 24, 0.011918834278339785, 0.012807131794327221
30, 20, 0.01190409954803723, 0.012787424763593782
30, 24, 0.011676619862424435, 0.012819348498423762
30, 22, 0.013035141960265338, 0.013885667973716225
30, 22, 0.012609787310066163, 0.013891896328520194
30, 23, 0.013300928545351158, 0.01430408748201922
30, 19, 0.012968680819387873, 0.014186765474021118
30, 22, 0.01205877671126535, 0.013171417306044273
30, 20, 0.01217051306304645, 0.01329109813769285
30, 23, 0.012279603714340873, 0.013417337986990623
30, 26, 0.012633759856136644, 0.013725472080911844
30, 25, 0.01169879418435171, 0.012828272853233597
30, 21, 0.012132418818728239, 0.01325620887284702
30, 20, 0.01213620534856343, 0.01327463732526404
30, 24, 0.011302612869580472, 0.01233546857654545
30, 22, 0.012594456565000429, 0.013804277428971938
30, 25, 0.012913998490608446, 0.014045333015925447
30, 23, 0.012379063152156108, 0.01365078170095126
30, 23, 0.011986721754002394, 0.0133518629786287
30, 16, 0.011736406253728222, 0.013018912672308236
30, 20, 0.011934600841943649, 0.013275759533354189
30, 19, 0.012535194384067177, 0.013815462541109179
30, 21, 0.012594316739614754, 0.01422030593654207
30, 21, 0.012581758601648885, 0.013893408152451785
30, 23, 0.012969672646746437, 0.014506191316627082
30, 19, 0.012613604245242738, 0.01422165666122006
30, 22, 0.012882345626390785, 0.014112462245616117
30, 22, 0.013245338045923824, 0.01477750196898887
30, 19, 0.013309011253956202, 0.015117180719971651
30, 25, 0.012466236865666011, 0.013999241555825482
30, 25, 0.012541695495929355, 0.014064575191367138
30, 25, 0.013051325044173756, 0.014174706565131116
30, 22, 0.01251180117997753, 0.01373714565707271
30, 26, 0.011819042638055626, 0.013311951676312312
30, 23, 0.01236320249442649, 0.013826593817243155
30, 24, 0.011666291320724134, 0.01302436194273109
30, 24, 0.012202375749601094, 0.013507444246308141
30, 22, 0.012124077240347362, 0.01356130711926182
30, 20, 0.012430296668839989, 0.013859468520842388
30, 22, 0.01260790042655096, 0.014213881632262516
30, 22, 0.012489391432184534, 0.014351368854286879
30, 27, 0.012030677384345169, 0.013774415368608007
30, 25, 0.012364114439114931, 0.014162658329657995
30, 23, 0.012685793425717368, 0.014431558104432047
30, 20, 0.012478410106150134, 0.014234494334422889
30, 25, 0.012344267239491065, 0.013966863720806098
30, 24, 0.012898073574568297, 0.014619907547833688
30, 28, 0.012257232517835554, 0.014078125058828524
30, 28, 0.011633564534500922, 0.01323291608859652
30, 26, 0.012081902265629687, 0.013993332368672657
30, 27, 0.011712867214159105, 0.013417063717864062
30, 25, 0.01208267525722911, 0.013634255452011268
30, 25, 0.012374536042083405, 0.014297501879951194
30, 27, 0.012776949277450314, 0.01470379888564791
30, 27, 0.012196481611430804, 0.01416532669484048
30, 27, 0.012076024539562592, 0.013536648431988789
30, 25, 0.01191124251394678, 0.013615016560408763
30, 28, 0.011543984527570406, 0.013190037155196134
30, 28, 0.011303699178165164, 0.013049082996726634
30, 27, 0.010976302021916847, 0.012588028574122506
30, 28, 0.010625577540154342, 0.01229761332249294
30, 30, 0.010953478299276344, 0.012435756448857022
30, 25, 0.010738671565405946, 0.012305166734752798
30, 25, 0.010471629323339648, 0.012088475201943984
30, 26, 0.010532423606769207, 0.012188334957879207
30, 27, 0.010189579721033334, 0.012173157452902154
30, 24, 0.010075372657603662, 0.01201850770655479
30, 26, 0.009604720424183396, 0.011331873329596209
30, 28, 0.009826676537111206, 0.011751058674145122
30, 27, 0.009734868912884588, 0.01128658713716407
30, 28, 0.00953462954716843, 0.011258738190123203
30, 28, 0.009227570481355637, 0.01093010941075752
30, 22, 0.00904347528813221, 0.010620203488737998
30, 28, 0.00934974576542932, 0.010967913563710957
30, 26, 0.008927711102310653, 0.010549389183575255
30, 29, 0.008943764546019225, 0.010515885983438767
30, 27, 0.009328120386916177, 0.010944246241651367
30, 27, 0.0092261440566923, 0.010782895319747658
30, 26, 0.008571451095590082, 0.01017795758248696
