games, wins, q_loss, v_loss
30, 13, 0.030547786409907175, 0.034670468442577866
30, 17, 0.018019433298665587, 0.018599495764614823
30, 17, 0.01696250711090082, 0.017593359664405582
30, 13, 0.01613475385430441, 0.01682373260384296
30, 12, 0.015336947901384962, 0.01622184555336776
30, 16, 0.015315774216035652, 0.01608845399364677
30, 16, 0.014765415969940372, 0.01575718384832415
30, 13, 0.014510405101329397, 0.015233435674842142
30, 7, 0.013924938535317994, 0.014315639302209021
30, 19, 0.013487867147890674, 0.014106705889149524
30, 14, 0.01316229634723886, 0.013639137983587396
30, 20, 0.012634805648051143, 0.013534797939380278
30, 15, 0.01250957789924953, 0.013142270283167988
30, 12, 0.012540977593655356, 0.013226934538561792
30, 19, 0.01285120098665009, 0.013621771069938794
30, 12, 0.012421503499097807, 0.012996565719639117
30, 19, 0.01367227919088025, 0.01459741632920395
30, 25, 0.013053338265198696, 0.013843250390076486
30, 16, 0.013153201501339517, 0.014040870544607786
30, 22, 0.013738911863282995, 0.014588720580015495
30, 14, 0.013857903633773072, 0.014822457161285585
30, 16, 0.014034030163356182, 0.014808715963142904
30, 17, 0.01497216879215556, 0.01587742725170312
30, 19, 0.013960235056285276, 0.01499972262996364
30, 15, 0.014008148228469536, 0.014892948476025467
30, 13, 0.013779009119593002, 0.014774001757537032
30, 22, 0.0147628209921361, 0.015761621994826724
30, 18, 0.014335325460455486, 0.015198894790454017
30, 14, 0.014853131308805, 0.015617237433930217
30, 20, 0.0156404090624405, 0.016555444681872967
30, 22, 0.016262610154017056, 0.017173002646140148
30, 18, 0.016493466616629586, 0.017927275413658
30, 21, 0.01718968116740134, 0.01833514847194915
30, 13, 0.016636225431785903, 0.01779766407054246
30, 18, 0.01625650967153806, 0.017284275667851064
30, 16, 0.016426178243200733, 0.017687688333695963
30, 17, 0.016203523682892587, 0.017231758482199173
30, 21, 0.016409949052561653, 0.017476409336739027
30, 16, 0.01653668699721091, 0.017560413508773465
30, 14, 0.016433045444671793, 0.01750704507780277
30, 20, 0.015809741544313995, 0.01677542522501147
30, 19, 0.015861567232944504, 0.016941784554341387
30, 13, 0.015976144508049066, 0.017062244202221622
30, 17, 0.015796236637330496, 0.01703289748463877
30, 13, 0.01603052774086022, 0.017182096262441122
30, 18, 0.015250136974192368, 0.01659195117006782
30, 20, 0.014403721335265341, 0.015814879836930338
30, 18, 0.015385201518198456, 0.01652594583426065
